k = 0, real = 1.00000000000000000000, imag = 0.00000000000000000000
k = 1, real = 0.99999992646571789212, imag = -0.00038349518757139556
k = 2, real = 0.99999970586288222663, imag = -0.00076699031874270449
k = 3, real = 0.99999933819152553305, imag = -0.00115048533711384847
k = 4, real = 0.99999882345170187925, imag = -0.00153398018628476550
k = 5, real = 0.99999816164348698244, imag = -0.00191747480985541901
k = 6, real = 0.99999735276697820918, imag = -0.00230096915142580499
k = 7, real = 0.99999639682229435333, imag = -0.00268446315459596168
k = 8, real = 0.99999529380957619118, imag = -0.00306795676296597614
k = 9, real = 0.99999404372898581528, imag = -0.00345144992013599397
k = 10, real = 0.99999264658070718959, imag = -0.00383494256970622754
k = 11, real = 0.99999110236494559434, imag = -0.00421843465527696297
k = 12, real = 0.99998941108192840321, imag = -0.00460192612044857050
k = 13, real = 0.99998757273190408412, imag = -0.00498541690882151056
k = 14, real = 0.99998558731514319842, imag = -0.00536890696399634250
k = 15, real = 0.99998345483193773475, imag = -0.00575239622957373579
k = 16, real = 0.99998117528260110909, imag = -0.00613588464915447527
k = 17, real = 0.99997874866746883082, imag = -0.00651937216633946808
k = 18, real = 0.99997617498689761462, imag = -0.00690285872472975581
k = 19, real = 0.99997345424126593549, imag = -0.00728634426792652140
k = 20, real = 0.99997058643097413988, imag = -0.00766982873953109701
k = 21, real = 0.99996757155644377946, imag = -0.00805331208314497178
k = 22, real = 0.99996440961811827730, imag = -0.00843679424236979877
k = 23, real = 0.99996110061646281686, imag = -0.00882027516080741147
k = 24, real = 0.99995764455196389786, imag = -0.00920375478205981944
k = 25, real = 0.99995404142512978041, imag = -0.00958723304972922477
k = 26, real = 0.99995029123649048497, imag = -0.00997070990741803082
k = 27, real = 0.99994639398659745932, imag = -0.01035418529872884214
k = 28, real = 0.99994234967602391162, imag = -0.01073765916726449055
k = 29, real = 0.99993815830536458833, imag = -0.01112113145662802123
k = 30, real = 0.99993381987523599630, imag = -0.01150460211042271357
k = 31, real = 0.99992933438627606968, imag = -0.01188807107225209152
k = 32, real = 0.99992470183914450299, imag = -0.01227153828571992539
k = 33, real = 0.99991992223452275113, imag = -0.01265500369443024221
k = 34, real = 0.99991499557311347424, imag = -0.01303846724198733445
k = 35, real = 0.99990992185564153694, imag = -0.01342192887199576516
k = 36, real = 0.99990470108285289808, imag = -0.01380538852806039059
k = 37, real = 0.99989933325551538790, imag = -0.01418884615378634452
k = 38, real = 0.99989381837441848599, imag = -0.01457230169277906433
k = 39, real = 0.99988815644037332131, imag = -0.01495575508864429616
k = 40, real = 0.99988234745421256111, imag = -0.01533920628498810015
k = 41, real = 0.99987639141679041099, imag = -0.01572265522541685737
k = 42, real = 0.99987028832898294795, imag = -0.01610610185353728713
k = 43, real = 0.99986403819168767626, imag = -0.01648954611295643663
k = 44, real = 0.99985764100582386060, imag = -0.01687298794728171042
k = 45, real = 0.99985109677233219294, imag = -0.01725642730012087733
k = 46, real = 0.99984440549217523664, imag = -0.01763986411508205315
k = 47, real = 0.99983756716633709338, imag = -0.01802329833577374571
k = 48, real = 0.99983058179582340319, imag = -0.01840672990580482019
k = 49, real = 0.99982344938166156645, imag = -0.01879015876878455463
k = 50, real = 0.99981616992490041085, imag = -0.01917358486832262260
k = 51, real = 0.99980874342661052445, imag = -0.01955700814802908277
k = 52, real = 0.99980116988788425569, imag = -0.01994042855151444138
k = 53, real = 0.99979344930983526929, imag = -0.02032384602238959323
k = 54, real = 0.99978558169359921237, imag = -0.02070726050426589457
k = 55, real = 0.99977756704033293733, imag = -0.02109067194075512144
k = 56, real = 0.99976940535121527898, imag = -0.02147408027546950787
k = 57, real = 0.99976109662744661044, imag = -0.02185748545202173543
k = 58, real = 0.99975264087024884319, imag = -0.02224088741402496100
k = 59, real = 0.99974403808086542700, imag = -0.02262428610509280291
k = 60, real = 0.99973528826056168306, imag = -0.02300768146883936868
k = 61, real = 0.99972639141062447088, imag = -0.02339107344887925849
k = 62, real = 0.99971734753236218829, imag = -0.02377446198882755476
k = 63, real = 0.99970815662710488247, imag = -0.02415784703229986383
k = 64, real = 0.99969881869620424997, imag = -0.02454122852291228812
k = 65, real = 0.99968933374103363665, imag = -0.02492460640428146787
k = 66, real = 0.99967970176298792673, imag = -0.02530798062002457063
k = 67, real = 0.99966992276348376478, imag = -0.02569135111375929481
k = 68, real = 0.99965999674395922270, imag = -0.02607471782910390085
k = 69, real = 0.99964992370587424375, imag = -0.02645808070967718695
k = 70, real = 0.99963970365071019852, imag = -0.02684143969909853072
k = 71, real = 0.99962933657997010695, imag = -0.02722479474098787530
k = 72, real = 0.99961882249517863830, imag = -0.02760814577896573974
k = 73, real = 0.99960816139788211121, imag = -0.02799149275665324330
k = 74, real = 0.99959735328964838263, imag = -0.02837483561767209853
k = 75, real = 0.99958639817206706990, imag = -0.02875817430564461472
k = 76, real = 0.99957529604674921764, imag = -0.02914150876419372219
k = 77, real = 0.99956404691532774187, imag = -0.02952483893694297576
k = 78, real = 0.99955265077945698593, imag = -0.02990816476751655476
k = 79, real = 0.99954110764081294249, imag = -0.03029148619953928381
k = 80, real = 0.99952941750109314256, imag = -0.03067480317663662595
k = 81, real = 0.99951758036201698854, imag = -0.03105811564243469991
k = 82, real = 0.99950559622532531012, imag = -0.03144142354056030098
k = 83, real = 0.99949346509278058637, imag = -0.03182472681464088710
k = 84, real = 0.99948118696616694567, imag = -0.03220802540830458582
k = 85, real = 0.99946876184729005477, imag = -0.03259131926518022554
k = 86, real = 0.99945618973797734075, imag = -0.03297460832889733545
k = 87, real = 0.99944347064007776904, imag = -0.03335789254308613866
k = 88, real = 0.99943060455546173237, imag = -0.03374117185137757990
k = 89, real = 0.99941759148602171692, imag = -0.03412444619740332558
k = 90, real = 0.99940443143367130308, imag = -0.03450771552479574983
k = 91, real = 0.99939112440034605367, imag = -0.03489097977718800397
k = 92, real = 0.99937767038800284780, imag = -0.03527423889821394709
k = 93, real = 0.99936406939862054699, imag = -0.03565749283150822235
k = 94, real = 0.99935032143419944006, imag = -0.03604074152070622927
k = 95, real = 0.99933642649676124314, imag = -0.03642398490944410983
k = 96, real = 0.99932238458834954375, imag = -0.03680722294135883171
k = 97, real = 0.99930819571102946774, imag = -0.03719045556008811898
k = 98, real = 0.99929385986688779031, imag = -0.03757368270927049364
k = 99, real = 0.99927937705803271395, imag = -0.03795690433254531038
k = 100, real = 0.99926474728659442359, imag = -0.03834012037355269409
k = 101, real = 0.99924997055472442042, imag = -0.03872333077593362316
k = 102, real = 0.99923504686459585500, imag = -0.03910653548332988783
k = 103, real = 0.99921997621840352721, imag = -0.03948973443938411793
k = 104, real = 0.99920475861836388631, imag = -0.03987292758773981066
k = 105, real = 0.99918939406671491987, imag = -0.04025611487204128203
k = 106, real = 0.99917388256571637584, imag = -0.04063929623593373619
k = 107, real = 0.99915822411764942945, imag = -0.04102247162306323774
k = 108, real = 0.99914241872481690532, imag = -0.04140564097707673946
k = 109, real = 0.99912646638954338840, imag = -0.04178880424162206147
k = 110, real = 0.99911036711417489098, imag = -0.04217196136034794679
k = 111, real = 0.99909412090107907467, imag = -0.04255511227690401965
k = 112, real = 0.99907772775264536147, imag = -0.04293825693494082024
k = 113, real = 0.99906118767128460068, imag = -0.04332139527810982549
